PlaceId,Nome,Endereco,Telefone,Website,Avaliacao,TotalAvaliacoes,FaixaPreco,Tipos,Latitude,Longitude,Horario_Semana,AbertoAgora,StatusNegocio,Regiao
ChIJ71gGHYNazpQRZ-_pV0aW7rk,Bacalhau do Guga,"R. Palestina, 260 - Vila Mascote, São Paulo - SP, 04362-030, Brazil",+55 11 5563-8008,http://www.bacalhaudoguga.com.br,4.7,838.0,2.0,"establishment, food, meal_delivery, point_of_interest, restaurant",-23.643849,-46.667997,"Monday: Closed; Tuesday: 12:00 – 4:00 PM; Wednesday: 12:00 – 4:00 PM; Thursday: 12:00 – 4:00 PM, 6:30 – 10:00 PM; Friday: 12:00 – 4:00 PM, 6:30 – 10:00 PM; Saturday: 12:00 – 4:00 PM, 6:30 – 10:00 PM; Sunday: 12:00 – 5:00 PM",True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJS6tByH9QzpQRRhpMPokqUKA,Posto Ipiranga,"Av. Washington Luís, 4604 - Vila Sao Paulo, São Paulo - SP, 04626-000, Brazil",,https://portal.ipiranga/,3.9,972.0,,"car_repair, car_wash, convenience_store, establishment, food, gas_station, point_of_interest, restaurant, store",-23.6385987,-46.67209039999999,,,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJY_ZBuYFazpQRULMlU8P88ic,Espetinho da Mascote,"Avenida Santa Catarina, 334 11)50340235 / (11) 985599595 - Vila Mascote, São Paulo - SP, 04635-001, Brazil",+55 11 5034-0235,,4.4,2238.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6396599,-46.6691949,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJEy8kMXZQzpQR8OvjUWlnjf4,Flechas 400,"Rua das Flechas, 400 - Jardim Prudência, São Paulo - SP, 04364-030, Brazil",+55 11 5566-0400,http://www.barflechas400.com.br/,4.3,1296.0,2.0,"bar, establishment, food, point_of_interest, restaurant",-23.6492354,-46.67160579999999,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 12:00 AM; Saturday: 11:00 AM – 12:00 AM; Sunday: 11:00 AM – 12:00 AM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJAT_7LoBazpQRqQGeScGC5Ow,Restaurante Don Papy,"Av. Santa Catarina, 182 - Vila Alexandria, São Paulo - SP, 04378-300, Brazil",+55 11 5031-0761,,4.4,453.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6387715,-46.6702247,Monday: 11:30 AM – 3:00 PM; Tuesday: 11:30 AM – 3:00 PM; Wednesday: 11:30 AM – 3:00 PM; Thursday: 11:30 AM – 3:00 PM; Friday: 11:30 AM – 3:00 PM; Saturday: 11:30 AM – 3:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJX-I0cIdQzpQRZdaoEvuh7dE,Burger King,"Av. Professor Vicente Ráo, 1700 - Santo Amaro, São Paulo - SP, 04636-001, Brazil",,https://burgerking.harmo.me/,4.0,6598.0,2.0,"establishment, food, meal_delivery, point_of_interest, restaurant",-23.638726,-46.6771921,Monday: 11:00 AM – 4:00 AM; Tuesday: 11:00 AM – 4:00 AM; Wednesday: 11:00 AM – 4:00 AM; Thursday: 11:00 AM – 4:00 AM; Friday: 11:00 AM – 4:00 AM; Saturday: 11:00 AM – 4:00 AM; Sunday: 11:00 AM – 4:00 AM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJVVXJf4NazpQRqIxkPUhodNE,Brothers Prime Burger - Vila Mascote,"Av. Santa Catarina, 781 - Jabaquara, São Paulo - SP, 04378-300, Brazil",+55 11 4883-0070,https://brothersprimeburger.saipos.com/,4.6,778.0,2.0,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",-23.6425699,-46.66576790000001,"Monday: Closed; Tuesday: 6:00 – 11:30 PM; Wednesday: 6:00 – 11:30 PM; Thursday: 6:00 – 11:30 PM; Friday: 12:00 – 4:30 PM, 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 6:00 – 11:30 PM",False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJKQ-ZRZxazpQRPaufEL5wXKw,Banca de Revistas e Conveniências Orquídea Ouro - EA Express,"Av. Mascote, 542 - Vila Mascote, São Paulo - SP, 04363-000, Brazil",+55 11 4508-4010,,4.4,1054.0,2.0,"bakery, establishment, food, point_of_interest, restaurant, store",-23.6485297,-46.6673775,Monday: 9:00 AM – 7:30 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 7:30 PM; Thursday: 9:00 AM – 7:30 PM; Friday: 9:00 AM – 7:30 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 1:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJ3wQpjoNazpQR7AXWAkb_gpU,Shakeria Herbalife Vila Mascote,"mesma escada da depilação monalisa Em cima da lotérica da caixa econômica. Em frente ao ponto da esfiha - Av. Santa Catarina, 702 - Sala 2 - Vila Mascote, São Paulo - SP, 04378-000, Brazil",+55 11 94724-9893,https://bit.ly/meu_catalogo_profissional,5.0,264.0,2.0,"establishment, food, health, meal_takeaway, point_of_interest, restaurant, store",-23.6418719,-46.666501,Monday: 6:00 AM – 12:00 AM; Tuesday: 6:00 AM – 12:00 AM; Wednesday: 6:00 AM – 12:00 AM; Thursday: 6:00 AM – 12:00 AM; Friday: 6:00 AM – 12:00 AM; Saturday: 8:00 AM – 12:00 AM; Sunday: 8:00 AM – 12:00 AM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJD-mE24NazpQRioyxg11TrTA,Padaria Ibéria,"Av. Santa Catarina, 563 - Vila Alexandria, São Paulo - SP, 04635-001, Brazil",+55 11 5034-1733,https://m.facebook.com/Padariaaveiro/?__nodl&refsrc=http://www.google.com.br/&ref=external:www.google.com.br&_rdr,4.1,2657.0,3.0,"bakery, establishment, food, point_of_interest, restaurant, store",-23.6408622,-46.6672598,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJswUlPptazpQR0gEasmK0JTQ,Dona Linda Restaurante,"Av. Santa Catarina, 1190 - Jabaquara, São Paulo - SP, 04378-000, Brazil",+55 11 4561-6300,,4.5,599.0,2.0,"establishment, food, point_of_interest, restaurant",-23.6455703,-46.6644276,Monday: 11:30 AM – 3:00 PM; Tuesday: 11:30 AM – 3:00 PM; Wednesday: 11:30 AM – 3:00 PM; Thursday: 11:30 AM – 3:00 PM; Friday: 11:30 AM – 3:00 PM; Saturday: 11:30 AM – 3:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJw9WljYJazpQRhahTX5bAdEw,China In Box - Restaurante de Comida Chinesa,"R. Palestina, 410 - Vila Mascote, São Paulo - SP, 04362-030, Brazil",+55 11 2548-5475,https://chinainbox.com.br/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB_CLIQUENOSITE,3.7,410.0,2.0,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",-23.6440447,-46.66950019999999,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJz1h724NazpQR7O1zRTkknWY,Bar Restaurante Lopes,"Av. Santa Catarina, 570 - Vila Santa Catarina, São Paulo - SP, 04378-100, Brazil",+55 11 5034-1035,,4.1,112.0,1.0,"bar, establishment, food, meal_takeaway, point_of_interest, restaurant",-23.6412251,-46.6672928,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 3:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJ21dfR3lQzpQRxmXU3dHatfk,Cantinho das Delicias,"R. Guilherme Asbahr Neto, 139 - Chácara Monte Alegre, São Paulo - SP, 04646-000, Brazil",+55 11 5686-1949,,4.5,212.0,1.0,"establishment, food, point_of_interest, restaurant",-23.643869,-46.674197,Monday: 11:00 AM – 1:50 PM; Tuesday: 11:00 AM – 1:50 PM; Wednesday: 11:00 AM – 1:50 PM; Thursday: 11:00 AM – 1:50 PM; Friday: 11:00 AM – 1:50 PM; Saturday: Closed; Sunday: Closed,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJaTGaEnlQzpQR2-h2eb0aK98,Delicias da Dina,"Av. Washington Luís, 3919 - Box 03 - Chácara Monte Alegre, São Paulo - SP, 04627-001, Brazil",,,4.1,9.0,,"establishment, food, meal_takeaway, point_of_interest, restaurant",-23.6446866,-46.674058,Monday: 10:00 AM – 7:00 PM; Tuesday: 10:00 AM – 7:00 PM; Wednesday: 10:00 AM – 7:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 10:00 AM – 3:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJDel16XhQzpQRNL-8MDNxH2k,PIC'S PIZZAS ESFINAS,"Praça Nossa Senhora do Perpétuo Socorro - Santo Amaro, São Paulo - SP, 04648-010, Brazil",,,,,,"establishment, food, point_of_interest, restaurant",-23.6435863,-46.6720951,,,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJ45HJFvRRzpQRrP-4rC9hESw,Fishy,"Av. Washington Luís, 4010 - Loja 4 - Vila Mascote, São Paulo - SP, 04626-000, Brazil",,,,,,"establishment, food, point_of_interest, restaurant",-23.6436334,-46.672044,,,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJ_S_qB-lRzpQRKilsAaRa4Qw,Spettaculo Pizzeria,"R. Maratona, 369 - Vila Alexandria, São Paulo - SP, 04635-040, Brazil",+55 11 92059-9487,http://spettaculopizzeria.saipos.com/,4.8,24.0,,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",-23.6435553,-46.6720025,Monday: 6:00 – 10:00 PM; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 6:00 – 11:00 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJFRpVAHlQzpQRaGfkgh2hYHk,Espetinho do Gaucho-Drive Thru,"Viaduto Washington Luís, 5178 - Santo Amaro, São Paulo - SP, 04648-010, Brazil",,,4.1,7.0,,"establishment, food, point_of_interest, restaurant",-23.6449155,-46.672576,Monday: 2:00 – 9:00 PM; Tuesday: 2:00 – 9:00 PM; Wednesday: 2:00 – 9:00 PM; Thursday: 2:00 – 9:00 PM; Friday: 2:00 – 9:00 PM; Saturday: Closed; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJE36H_3hQzpQRHQxhLKH99tM,Lanchonete Princesa,"R. Dr. Gentil Leite Martins, 92 - Jardim Prudência, São Paulo - SP, 04648-000, Brazil",+55 11 5678-4783,,4.2,394.0,1.0,"establishment, food, meal_takeaway, point_of_interest, restaurant",-23.6450927,-46.67286559999999,Monday: 5:00 AM – 12:30 AM; Tuesday: 5:00 AM – 12:30 AM; Wednesday: 5:00 AM – 12:30 AM; Thursday: 5:00 AM – 12:30 AM; Friday: 5:00 AM – 12:30 AM; Saturday: 5:00 AM – 12:30 AM; Sunday: 5:00 AM – 9:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJR8oOq3lQzpQRppkrF7X8mwI,Lanchonete Prudência,"Av. Washington Luís, 3758 - Santo Amaro, São Paulo - SP, 04626-000, Brazil",+55 11 98754-5811,,4.1,172.0,1.0,"establishment, food, meal_takeaway, point_of_interest, restaurant",-23.6452155,-46.6730489,Monday: 5:00 AM – 10:00 PM; Tuesday: 5:00 AM – 10:00 PM; Wednesday: 5:00 AM – 10:00 PM; Thursday: 5:00 AM – 10:00 PM; Friday: 5:00 AM – 10:00 PM; Saturday: 5:00 AM – 10:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJQY_Kl_tRzpQRgecdbO330L4,Pada Pada Padaria Artesanal,"R. Abatira, 22 - Jardim Prudência, São Paulo - SP, 04364-010, Brazil",+55 11 99305-6458,https://padapada.sisfood.com.br/loja/cardapio,4.6,107.0,,"bakery, establishment, food, point_of_interest, restaurant, store",-23.6453876,-46.67243209999999,Monday: Closed; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 6:00 – 9:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJU-eSTnhQzpQRqhN0_5DDCtg,Lancheteria são judas,"R. Dr. Gentil Leite Martins, 107 - Vila Nova Caledonia, São Paulo - SP, 04648-000, Brazil",+55 11 5566-3252,,4.4,820.0,2.0,"establishment, food, meal_takeaway, point_of_interest, restaurant",-23.6455721,-46.6725509,Monday: 5:30 AM – 12:50 AM; Tuesday: 5:30 AM – 12:50 AM; Wednesday: 5:30 AM – 12:50 AM; Thursday: 5:30 AM – 12:50 AM; Friday: 5:30 AM – 12:50 AM; Saturday: 5:30 AM – 12:50 AM; Sunday: 5:30 AM – 3:30 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJX480A3xQzpQRTve1twIerQg,Bar e Lanches Felis Wil,"R. Guilherme Asbahr Neto, 314 - Chácara Monte Alegre, São Paulo - SP, 04646-001, Brazil",+55 11 98526-5141,,4.2,35.0,,"bar, establishment, food, point_of_interest, restaurant",-23.6427347,-46.6756502,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 5:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJR2cE5dhRzpQRdMMuQZN-TgE,Bar Empório Valhalla l Vila Mascote,"Av. Mascote, 1225 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 91855-2627,http://www.emporiovalhalla.com.br/,4.4,74.0,,"bar, establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",-23.6445256,-46.6712544,,,CLOSED_TEMPORARILY,Itaú CEIC (Jabaquara)
ChIJeZvBSXhQzpQRZUsqQvF_mlo,Grand Oro Pizzaria,"Rua das Flechas, 13 - Jardim Prudência, São Paulo - SP, 04364-030, Brazil",,,4.8,4.0,,"establishment, food, point_of_interest, restaurant",-23.6458984,-46.6725359,,,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJQyVTB3hQzpQRYeiliAQcCmc,Forneria Castelete,"Av. Mascote, 1291 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 5679-9000,https://www.instagram.com/forneriacastelete,4.5,140.0,,"establishment, food, point_of_interest, restaurant",-23.6438044,-46.6708213,Monday: 6:00 – 11:30 PM; Tuesday: 6:00 – 11:30 PM; Wednesday: 6:00 – 11:30 PM; Thursday: 6:00 – 11:30 PM; Friday: 6:00 PM – 12:10 AM; Saturday: 6:00 – 11:30 PM; Sunday: 6:00 – 11:30 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJkf_hJXhQzpQRGcchNg5BWjE,Dona Neves Restaurante Especializado em Comida Caseira e Massas,"Rua das Flechas, 132 - Jardim Prudência, São Paulo - SP, 04350-030, Brazil",+55 11 5563-3415,https://www.instagram.com/_donaneves/,4.4,137.0,1.0,"establishment, food, point_of_interest, restaurant",-23.6470351,-46.6724726,Monday: 11:00 AM – 4:30 PM; Tuesday: 11:00 AM – 4:30 PM; Wednesday: 11:00 AM – 4:30 PM; Thursday: 11:00 AM – 4:30 PM; Friday: 11:00 AM – 4:30 PM; Saturday: 11:00 AM – 4:30 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJlz2akIZRzpQRuX7oDvSyV6I,HF Food Truck,"Eventos - Chácara Monte Alegre, São Paulo - SP, 04627-010, Brazil",+55 11 97160-1834,,5.0,13.0,,"establishment, food, point_of_interest, restaurant",-23.6470155,-46.6750424,Monday: Closed; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJCUuAB3hQzpQRpJ4dOMsCdFo,Geração de Minas - Restaurante na Vila Mascote,"Av. Mascote, 1048 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 5565-1824,http://www.restaurantegeracaodeminas.com.br/,4.5,802.0,1.0,"establishment, food, meal_delivery, point_of_interest, restaurant",-23.6460008,-46.6704797,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 5:00 PM,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJaWITqYJazpQRQVrNOiLkwsU,KEFC ( KIBE & ESFIHA FOOD COMPANY ),"Av. Mascote, 1034 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 2611-0309,,4.3,82.0,,"establishment, food, point_of_interest, restaurant",-23.6460457,-46.6704744,Monday: Closed; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:00 PM; Saturday: 6:00 – 11:00 PM; Sunday: 6:00 – 11:00 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJbwwf5EZRzpQRCrVFRsAfBeI,La Viande Rotisserie,"Av. Mascote, º 1029 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 96330-6549,https://laviande.saipos.com/home,,,,"establishment, food, point_of_interest, restaurant",-23.6461893,-46.67059920000001,Monday: 11:00 AM – 5:00 PM; Tuesday: 11:00 AM – 5:00 PM; Wednesday: 11:00 AM – 5:00 PM; Thursday: 11:00 AM – 5:00 PM; Friday: 11:00 AM – 5:00 PM; Saturday: 10:30 AM – 3:00 PM; Sunday: Closed,True,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJ30IX_gFbzpQRiQERLPXEPww,Geração Mineira Pizzaria,"Av. Mascote, 1048 - Vila Mascote, São Paulo - SP, 04363-001, Brazil",+55 11 93056-4574,,5.0,1.0,,"establishment, food, point_of_interest, restaurant",-23.6459347,-46.6703182,Monday: Closed; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:00 PM; Saturday: 6:00 – 11:00 PM; Sunday: 6:00 – 11:00 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJf39vSnpbzpQRcwnk8dUGzgA,BellaVitto Empanadas,"R. Palestina, 425 - Vila Mascote, São Paulo - SP, 04362-030, Brazil",+55 11 94343-2222,,4.9,87.0,,"establishment, food, point_of_interest, restaurant",-23.6444381,-46.669535,Monday: Closed; Tuesday: 6:00 – 10:00 PM; Wednesday: 6:00 – 10:00 PM; Thursday: 6:00 – 10:00 PM; Friday: 6:00 – 10:00 PM; Saturday: 6:00 – 10:00 PM; Sunday: Closed,False,OPERATIONAL,Itaú CEIC (Jabaquara)
ChIJGZwU1xRQzpQRTaROZhOXgRg,Monte Libano Delivery,"R. Palestina, 415 - Vila Mascote, São Paulo - SP, 04362-050, Brazil",+55 11 5565-7655,https://montelibanodelivery.com.br/,4.2,104.0,,"establishment, food, point_of_interest, restaurant",-23.644392,-46.6694446,Monday: Closed; Tuesday: 6:00 – 10:45 PM; Wednesday: 6:00 – 10:45 PM; Thursday: 6:00 – 10:45 PM; Friday: 6:00 – 10:45 PM; Saturday: 6:00 – 10:45 PM; Sunday: 6:00 – 10:45 PM,False,OPERATIONAL,Itaú CEIC (Jabaquara)
